,Warehouse,Order date,Delivery date,Customer,Zipcode
0,Butler,2/9/2021 10:49,2/11/2021 12:40,12392,15017
1,Butler,2/12/2021 8:59,2/15/2021 16:12,12392,15017
2,Washington,2/12/2021 9:01,2/15/2021 16:15,12392,15017
3,McKees Rocks,2/13/2021 7:45,2/15/2021 16:16,12392,15017
5,Butler,2/15/2021 21:58,2/16/2021 16:50,12392,15017
8,Butler,2/17/2021 6:46,2/17/2021 11:20,12392,15017
9,McKees Rocks,2/17/2021 8:34,2/18/2021 12:54,12392,15017
15,McKees Rocks,2/22/2021 22:19,2/23/2021 11:49,12392,15017
17,McKees Rocks,2/23/2021 21:57,2/24/2021 13:38,11565,15317
24,Washington,2/26/2021 23:09,3/1/2021 15:22,13306,15301
25,McKees Rocks,2/27/2021 8:10,3/3/2021 13:00,13306,15301
26,Washington,2/27/2021 17:18,3/1/2021 16:12,484,15102
27,Butler,2/27/2021 17:19,3/1/2021 16:11,484,15102
29,Butler,3/1/2021 13:44,3/1/2021 18:39,8240,15317
30,Washington,3/2/2021 7:30,3/2/2021 14:18,8240,15317
31,McKees Rocks,3/2/2021 7:32,3/2/2021 14:18,8240,15317
32,Washington,3/3/2021 16:57,3/4/2021 13:07,12430,15317
33,McKees Rocks,3/3/2021 21:49,3/4/2021 13:30,13565,15102
34,Butler,3/4/2021 0:53,3/5/2021 13:22,13442,15220
37,Butler,3/4/2021 20:57,3/5/2021 12:56,9000,15241
40,Butler,3/4/2021 22:07,3/5/2021 12:37,8240,15317
41,Washington,3/4/2021 22:09,3/5/2021 12:38,8240,15317
42,Washington,3/5/2021 20:28,3/8/2021 16:05,12392,15017
45,Butler,3/8/2021 10:42,3/9/2021 14:07,13306,15301
46,Washington,3/8/2021 12:46,3/9/2021 14:43,13565,15102
49,Washington,3/9/2021 12:34,3/10/2021 13:22,232,15301
56,Butler,3/10/2021 13:14,3/11/2021 16:57,13544,15220
58,Washington,3/10/2021 20:44,3/11/2021 17:02,12392,15017
62,Washington,3/12/2021 22:00,3/15/2021 13:06,11067,15301
63,Washington,3/13/2021 10:00,3/15/2021 17:27,10808,15218
69,Washington,3/16/2021 8:00,3/17/2021 15:04,10120,15301
71,Washington,3/16/2021 18:35,3/17/2021 18:26,10808,15218
74,Washington,3/17/2021 22:20,3/18/2021 16:32,10808,15218
76,Washington,3/18/2021 8:15,3/19/2021 16:53,13565,15102
77,Butler,3/18/2021 11:19,3/19/2021 16:53,13306,15301
78,Washington,3/18/2021 20:41,3/22/2021 14:47,11067,15301
79,Butler,3/18/2021 20:57,3/19/2021 16:53,1291,15301
80,Butler,3/18/2021 21:52,3/19/2021 16:53,8240,15317
81,Butler,3/18/2021 23:33,3/19/2021 17:10,13442,15220
84,Butler,3/19/2021 7:40,3/19/2021 16:59,6109,15243
85,Washington,3/19/2021 10:09,3/19/2021 16:53,8240,15317
86,Butler,3/19/2021 21:15,3/22/2021 15:43,13565,15102
87,Butler,3/19/2021 21:21,3/22/2021 20:14,10808,15218
89,Washington,3/20/2021 21:11,3/22/2021 15:31,484,15102
91,McKees Rocks,3/20/2021 21:56,3/22/2021 15:31,484,15102
92,Butler,3/22/2021 15:04,3/23/2021 15:54,13306,15301
95,Washington,3/23/2021 8:10,3/24/2021 13:33,484,15102
97,Washington,3/23/2021 8:49,3/24/2021 13:33,13565,15102
98,Butler,3/23/2021 8:49,3/24/2021 13:33,13565,15102
99,Washington,3/23/2021 22:19,3/24/2021 14:13,13171,15317
100,Butler,3/23/2021 22:54,3/24/2021 13:53,8240,15317
101,McKees Rocks,3/24/2021 12:13,3/25/2021 21:26,1712,15317
104,Washington,3/24/2021 22:00,3/25/2021 18:03,12392,15017
106,Butler,3/24/2021 22:15,3/25/2021 19:08,14295,15102
108,Washington,3/24/2021 23:17,3/25/2021 18:03,8240,15317
112,Washington,3/25/2021 0:46,3/25/2021 18:03,1291,15301
113,Butler,3/25/2021 0:49,3/25/2021 18:03,1291,15301
114,Washington,3/25/2021 2:26,3/25/2021 18:03,13171,15317
118,Butler,3/25/2021 12:12,3/26/2021 16:55,13442,15220
119,Washington,3/25/2021 23:33,3/26/2021 16:08,13171,15317
120,Butler,3/26/2021 0:00,3/26/2021 16:20,484,15102
121,McKees Rocks,3/26/2021 1:40,3/26/2021 15:47,1291,15301
124,Butler,3/26/2021 8:38,3/29/2021 16:31,9827,15102
125,McKees Rocks,3/26/2021 22:58,3/29/2021 16:14,232,15301
126,Washington,3/26/2021 22:59,3/29/2021 16:14,232,15301
127,Butler,3/26/2021 23:03,3/29/2021 16:14,1291,15301
129,McKees Rocks,3/27/2021 10:45,3/29/2021 16:46,13565,15102
131,McKees Rocks,3/28/2021 20:36,3/29/2021 16:14,8240,15317
132,McKees Rocks,3/29/2021 7:57,3/29/2021 16:38,484,15102
134,Washington,3/29/2021 20:35,3/30/2021 14:41,14295,15102
136,Butler,3/29/2021 21:58,3/30/2021 12:53,13306,15301
137,Butler,3/30/2021 9:31,3/31/2021 15:20,13442,15220
139,Washington,3/30/2021 23:15,3/31/2021 15:35,14982,15216
140,Washington,3/30/2021 23:18,3/31/2021 15:23,6109,15243
143,Washington,3/31/2021 4:41,3/31/2021 15:23,12392,15017
144,Butler,3/31/2021 6:16,3/31/2021 15:23,232,15301
145,Washington,3/31/2021 8:16,4/1/2021 15:28,13565,15102
146,Butler,3/31/2021 12:01,4/1/2021 15:28,8240,15317
148,Washington,3/31/2021 18:13,4/1/2021 15:28,9000,15241
151,McKees Rocks,4/1/2021 6:26,4/1/2021 15:28,484,15102
152,Butler,4/1/2021 6:29,4/1/2021 19:29,13512,15301
154,Butler,4/1/2021 7:31,4/1/2021 15:59,11326,15228
158,Butler,4/1/2021 19:12,4/2/2021 16:10,13306,15301
160,McKees Rocks,4/2/2021 7:47,4/2/2021 16:10,484,15102
161,Washington,4/2/2021 11:23,4/5/2021 16:44,13171,15317
163,Washington,4/2/2021 21:21,4/5/2021 16:28,2715,15317
164,Washington,4/2/2021 23:03,4/5/2021 17:22,14165,15205
169,Butler,4/5/2021 22:49,4/6/2021 13:21,8240,15317
170,Butler,4/5/2021 23:01,4/6/2021 13:21,14650,15102
174,McKees Rocks,4/6/2021 21:30,4/7/2021 15:22,12392,15017
175,Butler,4/6/2021 21:31,4/7/2021 15:22,12392,15017
176,Washington,4/6/2021 21:32,4/7/2021 15:22,13171,15317
185,McKees Rocks,4/7/2021 12:11,4/8/2021 19:12,7679,15044
186,Washington,4/7/2021 14:26,4/8/2021 19:41,3570,15241
187,Washington,4/7/2021 16:39,4/8/2021 19:12,13171,15317
190,Butler,4/8/2021 0:31,4/9/2021 16:51,14650,15102
191,McKees Rocks,4/8/2021 2:10,4/8/2021 19:12,12392,15017
196,Washington,4/8/2021 11:42,4/9/2021 17:49,7679,15044
198,Washington,4/8/2021 20:24,4/9/2021 17:58,3139,15044
200,Washington,4/8/2021 20:32,4/9/2021 16:51,12846,15106
205,Washington,4/8/2021 23:13,4/9/2021 16:51,8240,15317
206,Butler,4/8/2021 23:14,4/9/2021 16:51,8240,15317
209,Butler,4/9/2021 14:39,4/12/2021 14:37,15449,15228
212,Washington,4/9/2021 21:37,4/12/2021 14:25,9000,15241
213,Washington,4/9/2021 22:09,4/12/2021 13:38,10120,15301
216,Butler,4/12/2021 20:40,4/13/2021 14:22,3139,15044
219,Washington,4/13/2021 5:57,4/13/2021 14:08,10905,15044
220,Washington,4/13/2021 7:14,4/13/2021 12:45,15617,15317
224,McKees Rocks,4/13/2021 20:12,4/14/2021 16:55,3570,15241
227,McKees Rocks,4/13/2021 21:40,4/14/2021 16:55,8240,15317
228,Washington,4/13/2021 22:08,4/14/2021 17:36,14165,15205
231,McKees Rocks,4/14/2021 14:32,4/15/2021 12:56,3570,15241
236,Butler,4/14/2021 22:01,4/15/2021 12:41,2956,15241
237,Butler,4/14/2021 22:07,4/15/2021 13:23,15449,15228
238,Butler,4/14/2021 23:23,4/15/2021 14:14,203,15301
240,Washington,4/15/2021 15:53,4/16/2021 16:08,12846,15106
241,McKees Rocks,4/15/2021 16:00,4/16/2021 13:46,3570,15241
242,Washington,4/15/2021 18:04,4/16/2021 15:06,13171,15317
243,Washington,4/15/2021 20:27,4/16/2021 15:52,15449,15228
244,Washington,4/15/2021 20:52,4/16/2021 16:58,3139,15044
245,Washington,4/15/2021 21:27,4/16/2021 15:12,13565,15102
248,Washington,4/16/2021 21:27,4/19/2021 15:20,12392,15017
256,Butler,4/19/2021 11:45,4/20/2021 14:59,11326,15228
257,Washington,4/19/2021 13:09,4/20/2021 15:00,11326,15228
259,Washington,4/19/2021 21:28,4/20/2021 14:31,10120,15301
260,Butler,4/19/2021 21:41,4/20/2021 14:31,14650,15102
263,Butler,4/19/2021 22:08,4/20/2021 14:31,13512,15301
264,Butler,4/19/2021 23:07,4/20/2021 16:10,1761,15227
265,Butler,4/20/2021 5:03,4/21/2021 16:48,7679,15044
270,Butler,4/20/2021 19:43,4/21/2021 16:48,14295,15102
271,Butler,4/20/2021 19:54,4/21/2021 17:50,1761,15227
272,Washington,4/20/2021 20:01,4/21/2021 16:52,13565,15102
277,Washington,4/20/2021 22:22,4/21/2021 16:48,8240,15317
278,Butler,4/20/2021 22:22,4/21/2021 16:48,8240,15317
279,McKees Rocks,4/20/2021 22:23,4/21/2021 16:48,8240,15317
285,Washington,4/21/2021 22:01,4/22/2021 14:49,14650,15102
290,Butler,4/22/2021 6:44,4/22/2021 11:31,15658,15106
295,Butler,4/22/2021 14:45,4/23/2021 16:44,15985,15220
298,Butler,4/22/2021 21:16,4/23/2021 16:44,15449,15228
300,Butler,4/22/2021 21:41,4/23/2021 16:44,15658,15106
301,McKees Rocks,4/22/2021 23:09,4/26/2021 17:38,12386,15236
302,Butler,4/22/2021 23:19,4/23/2021 17:01,14982,15216
307,Butler,4/23/2021 21:14,4/26/2021 17:45,14295,15102
308,McKees Rocks,4/23/2021 22:02,4/26/2021 17:03,12846,15106
310,McKees Rocks,4/24/2021 13:56,4/26/2021 17:03,3570,15241
311,Washington,4/26/2021 8:07,4/27/2021 15:31,484,15102
312,Washington,4/26/2021 9:54,4/27/2021 15:31,8240,15317
313,McKees Rocks,4/26/2021 13:44,4/27/2021 15:31,14347,15227
315,Washington,4/26/2021 20:30,4/27/2021 16:19,3139,15044
316,Butler,4/26/2021 20:50,4/27/2021 15:31,8240,15317
321,Butler,4/26/2021 23:33,4/27/2021 15:31,484,15102
324,Washington,4/27/2021 3:51,4/27/2021 15:31,14347,15227
328,Washington,4/27/2021 12:27,4/28/2021 17:34,15449,15228
330,Butler,4/27/2021 21:49,4/28/2021 17:39,10808,15218
331,Butler,4/27/2021 22:06,4/28/2021 17:34,8415,15317
332,McKees Rocks,4/27/2021 22:17,4/28/2021 17:34,8240,15317
334,Washington,4/27/2021 22:52,4/28/2021 17:34,8240,15317
335,Butler,4/27/2021 23:29,4/28/2021 17:34,15658,15106
340,Butler,4/29/2021 9:09,4/30/2021 14:03,13306,15301
345,Butler,4/29/2021 22:19,4/30/2021 14:43,8240,15317
346,Washington,4/29/2021 22:20,4/30/2021 14:42,8240,15317
347,Butler,4/29/2021 22:23,4/30/2021 15:35,14650,15102
348,Washington,4/29/2021 22:24,4/30/2021 16:56,16232,15218
351,McKees Rocks,4/30/2021 7:11,4/30/2021 14:03,8674,15317
353,Washington,4/30/2021 9:43,5/3/2021 16:22,10120,15301
357,Butler,4/30/2021 20:58,5/3/2021 16:22,7679,15044
359,Butler,4/30/2021 21:07,5/3/2021 16:22,12392,15017
360,Washington,4/30/2021 21:14,5/3/2021 16:22,12392,15017
361,Butler,4/30/2021 22:21,5/3/2021 16:22,1777,15317
362,Washington,5/1/2021 1:13,5/3/2021 17:21,16232,15218
363,Butler,5/1/2021 1:21,5/3/2021 16:22,14544,15102
365,Washington,5/2/2021 19:42,5/3/2021 16:22,8240,15317
366,Washington,5/2/2021 20:25,5/3/2021 16:22,12846,15106
367,Butler,5/3/2021 15:21,5/4/2021 11:32,15985,15220
369,Butler,5/3/2021 22:07,5/4/2021 15:43,16698,15212
370,Washington,5/3/2021 22:16,5/5/2021 17:43,16698,15212
375,Butler,5/4/2021 11:12,5/5/2021 17:09,232,15301
378,Butler,5/4/2021 21:27,5/5/2021 17:09,11067,15301
382,Butler,5/5/2021 20:11,5/6/2021 13:33,15638,15090
383,Butler,5/5/2021 20:56,5/6/2021 15:19,15449,15228
386,Butler,5/5/2021 22:18,5/6/2021 17:53,14347,15227
392,Washington,5/6/2021 18:05,5/7/2021 16:19,16494,15211
393,Butler,5/6/2021 20:56,5/7/2021 16:54,1761,15227
394,Butler,5/6/2021 21:42,5/7/2021 15:54,8240,15317
402,Washington,5/7/2021 9:38,5/10/2021 17:54,3139,15044
403,Washington,5/7/2021 11:48,5/10/2021 13:19,10120,15301
412,Butler,5/7/2021 23:25,5/10/2021 14:04,14650,15102
413,Butler,5/8/2021 8:22,5/10/2021 14:16,11326,15228
417,Washington,5/9/2021 17:59,5/10/2021 13:22,3570,15241
418,Washington,5/9/2021 18:12,5/10/2021 13:21,3570,15241
